geometry,score,showroom_score
POINT (708565.0020715444 3148949.2900104844),-10,-10
POINT (708565.0020715444 3149199.2900104844),-10,-10
POINT (708565.0020715444 3149449.2900104844),-10,-10
POINT (708565.0020715444 3149699.2900104844),-10,-10
POINT (708565.0020715444 3149949.2900104844),-10,-10
POINT (708565.0020715444 3150199.2900104844),-10,-10
POINT (708565.0020715444 3150449.2900104844),-10,-10
POINT (708565.0020715444 3150699.2900104844),-4,6
POINT (708565.0020715444 3150949.2900104844),1,6
POINT (708565.0020715444 3151199.2900104844),11,16
POINT (708565.0020715444 3151449.2900104844),11,16
POINT (708565.0020715444 3151699.2900104844),11,16
POINT (708565.0020715444 3151949.2900104844),3,22
POINT (708565.0020715444 3152199.2900104844),11,16
POINT (708565.0020715444 3152449.2900104844),11,16
POINT (708565.0020715444 3152699.2900104844),4,28
POINT (708565.0020715444 3155199.2900104844),5,0
POINT (708565.0020715444 3155449.2900104844),11,16
POINT (708565.0020715444 3155699.2900104844),11,16
POINT (708565.0020715444 3155949.2900104844),11,16
POINT (708565.0020715444 3156199.2900104844),11,16
POINT (708815.0020715444 3147699.2900104844),1,6
POINT (708815.0020715444 3147949.2900104844),-4,6
POINT (708815.0020715444 3148199.2900104844),1,6
POINT (708815.0020715444 3148449.2900104844),1,6
POINT (708815.0020715444 3148699.2900104844),-10,-10
POINT (708815.0020715444 3148949.2900104844),-10,-10
POINT (708815.0020715444 3149199.2900104844),-10,-10
POINT (708815.0020715444 3149449.2900104844),-10,-10
POINT (708815.0020715444 3149699.2900104844),-10,-10
POINT (708815.0020715444 3149949.2900104844),-10,-10
POINT (708815.0020715444 3150199.2900104844),-10,-10
POINT (708815.0020715444 3150449.2900104844),-10,-10
POINT (708815.0020715444 3150699.2900104844),-4,6
POINT (708815.0020715444 3150949.2900104844),11,16
POINT (708815.0020715444 3151199.2900104844),11,16
POINT (708815.0020715444 3151449.2900104844),11,16
POINT (708815.0020715444 3151699.2900104844),11,16
POINT (708815.0020715444 3151949.2900104844),11,16
POINT (708815.0020715444 3152199.2900104844),11,16
POINT (708815.0020715444 3152449.2900104844),5,0
POINT (708815.0020715444 3152699.2900104844),11,16
POINT (708815.0020715444 3155199.2900104844),5,0
POINT (708815.0020715444 3155449.2900104844),11,16
POINT (708815.0020715444 3155699.2900104844),11,16
POINT (708815.0020715444 3155949.2900104844),11,16
POINT (708815.0020715444 3156199.2900104844),11,16
POINT (708815.0020715444 3156449.2900104844),5,0
POINT (708815.0020715444 3156699.2900104844),1,6
POINT (709065.0020715444 3147949.2900104844),11,16
POINT (709065.0020715444 3148199.2900104844),11,16
POINT (709065.0020715444 3148449.2900104844),1,6
POINT (709065.0020715444 3148699.2900104844),-10,-10
POINT (709065.0020715444 3148949.2900104844),-10,-10
POINT (709065.0020715444 3149199.2900104844),-10,-10
POINT (709065.0020715444 3149449.2900104844),-10,-10
POINT (709065.0020715444 3149699.2900104844),-10,-10
POINT (709065.0020715444 3149949.2900104844),-10,-10
POINT (709065.0020715444 3150199.2900104844),-10,-10
POINT (709065.0020715444 3150449.2900104844),-10,-10
POINT (709065.0020715444 3150699.2900104844),-4,6
POINT (709065.0020715444 3150949.2900104844),11,16
POINT (709065.0020715444 3151199.2900104844),11,16
POINT (709065.0020715444 3151449.2900104844),11,16
POINT (709065.0020715444 3151699.2900104844),11,16
POINT (709065.0020715444 3151949.2900104844),11,16
POINT (709065.0020715444 3152199.2900104844),11,16
POINT (709065.0020715444 3152449.2900104844),11,16
POINT (709065.0020715444 3152699.2900104844),11,16
POINT (709065.0020715444 3155199.2900104844),5,0
POINT (709065.0020715444 3155449.2900104844),5,0
POINT (709065.0020715444 3155699.2900104844),11,9
POINT (709065.0020715444 3155949.2900104844),11,16
POINT (709065.0020715444 3156199.2900104844),11,16
POINT (709065.0020715444 3156449.2900104844),5,0
POINT (709065.0020715444 3156699.2900104844),11,16
POINT (709065.0020715444 3156949.2900104844),11,16
POINT (709315.0020715444 3147699.2900104844),11,16
POINT (709315.0020715444 3147949.2900104844),11,16
POINT (709315.0020715444 3148199.2900104844),11,16
POINT (709315.0020715444 3148449.2900104844),11,16
POINT (709315.0020715444 3148699.2900104844),1,6
POINT (709315.0020715444 3148949.2900104844),-4,6
POINT (709315.0020715444 3149199.2900104844),-4,6
POINT (709315.0020715444 3149449.2900104844),-10,-10
POINT (709315.0020715444 3149699.2900104844),-10,-10
POINT (709315.0020715444 3149949.2900104844),-10,-10
POINT (709315.0020715444 3150199.2900104844),-10,-10
POINT (709315.0020715444 3150449.2900104844),-4,6
POINT (709315.0020715444 3150699.2900104844),-4,6
POINT (709315.0020715444 3150949.2900104844),-4,6
POINT (709315.0020715444 3151199.2900104844),-4,6
POINT (709315.0020715444 3151449.2900104844),11,16
POINT (709315.0020715444 3151699.2900104844),11,16
POINT (709315.0020715444 3151949.2900104844),5,0
POINT (709315.0020715444 3152199.2900104844),11,16
POINT (709315.0020715444 3152449.2900104844),11,16
POINT (709315.0020715444 3154949.2900104844),11,16
POINT (709315.0020715444 3155199.2900104844),11,16
POINT (709315.0020715444 3155449.2900104844),11,16
POINT (709315.0020715444 3155699.2900104844),11,16
POINT (709315.0020715444 3155949.2900104844),11,16
POINT (709315.0020715444 3156199.2900104844),11,16
POINT (709315.0020715444 3156449.2900104844),5,0
POINT (709315.0020715444 3156699.2900104844),11,16
POINT (709315.0020715444 3156949.2900104844),5,0
POINT (709565.0020715444 3147699.2900104844),11,16
POINT (709565.0020715444 3147949.2900104844),11,16
POINT (709565.0020715444 3148199.2900104844),5,0
POINT (709565.0020715444 3148449.2900104844),11,16
POINT (709565.0020715444 3148699.2900104844),11,16
POINT (709565.0020715444 3148949.2900104844),11,16
POINT (709565.0020715444 3149199.2900104844),5,0
POINT (709565.0020715444 3149449.2900104844),1,-1
POINT (709565.0020715444 3149699.2900104844),-10,-10
POINT (709565.0020715444 3149949.2900104844),-10,-10
POINT (709565.0020715444 3150199.2900104844),-5,-10
POINT (709565.0020715444 3150449.2900104844),-10,-10
POINT (709565.0020715444 3150699.2900104844),-4,-1
POINT (709565.0020715444 3150949.2900104844),-4,6
POINT (709565.0020715444 3151199.2900104844),1,6
POINT (709565.0020715444 3151449.2900104844),11,16
POINT (709565.0020715444 3151699.2900104844),11,16
POINT (709565.0020715444 3151949.2900104844),11,16
POINT (709565.0020715444 3152199.2900104844),11,16
POINT (709565.0020715444 3152449.2900104844),11,16
POINT (709565.0020715444 3154699.2900104844),5,0
POINT (709565.0020715444 3154949.2900104844),11,16
POINT (709565.0020715444 3155199.2900104844),11,16
POINT (709565.0020715444 3155449.2900104844),11,9
POINT (709565.0020715444 3155699.2900104844),11,16
POINT (709565.0020715444 3155949.2900104844),11,16
POINT (709565.0020715444 3156199.2900104844),11,16
POINT (709565.0020715444 3156449.2900104844),11,16
POINT (709565.0020715444 3156699.2900104844),11,16
POINT (709565.0020715444 3156949.2900104844),5,0
POINT (709815.0020715444 3147699.2900104844),11,16
POINT (709815.0020715444 3147949.2900104844),11,16
POINT (709815.0020715444 3148199.2900104844),11,16
POINT (709815.0020715444 3148449.2900104844),11,16
POINT (709815.0020715444 3148699.2900104844),11,16
POINT (709815.0020715444 3148949.2900104844),11,16
POINT (709815.0020715444 3149199.2900104844),11,16
POINT (709815.0020715444 3149449.2900104844),1,6
POINT (709815.0020715444 3149699.2900104844),1,6
POINT (709815.0020715444 3149949.2900104844),1,6
POINT (709815.0020715444 3150199.2900104844),11,16
POINT (709815.0020715444 3150449.2900104844),-5,-10
POINT (709815.0020715444 3150699.2900104844),11,16
POINT (709815.0020715444 3150949.2900104844),11,16
POINT (709815.0020715444 3151199.2900104844),11,16
POINT (709815.0020715444 3151449.2900104844),11,16
POINT (709815.0020715444 3151699.2900104844),11,16
POINT (709815.0020715444 3151949.2900104844),11,16
POINT (709815.0020715444 3152199.2900104844),11,16
POINT (709815.0020715444 3154699.2900104844),11,16
POINT (709815.0020715444 3154949.2900104844),11,16
POINT (709815.0020715444 3155199.2900104844),11,16
POINT (709815.0020715444 3155449.2900104844),11,16
POINT (709815.0020715444 3155699.2900104844),11,16
POINT (709815.0020715444 3155949.2900104844),11,16
POINT (709815.0020715444 3156199.2900104844),11,16
POINT (709815.0020715444 3156449.2900104844),11,16
POINT (709815.0020715444 3156699.2900104844),11,16
POINT (709815.0020715444 3156949.2900104844),11,16
POINT (710065.0020715444 3147699.2900104844),11,16
POINT (710065.0020715444 3147949.2900104844),11,16
POINT (710065.0020715444 3148199.2900104844),11,16
POINT (710065.0020715444 3148449.2900104844),11,16
POINT (710065.0020715444 3148699.2900104844),11,16
POINT (710065.0020715444 3148949.2900104844),11,16
POINT (710065.0020715444 3149199.2900104844),11,16
POINT (710065.0020715444 3149449.2900104844),11,16
POINT (710065.0020715444 3149699.2900104844),11,16
POINT (710065.0020715444 3149949.2900104844),11,16
POINT (710065.0020715444 3150199.2900104844),11,16
POINT (710065.0020715444 3150449.2900104844),11,16
POINT (710065.0020715444 3150699.2900104844),11,16
POINT (710065.0020715444 3150949.2900104844),11,16
POINT (710065.0020715444 3151199.2900104844),11,16
POINT (710065.0020715444 3151449.2900104844),11,16
POINT (710065.0020715444 3151699.2900104844),11,16
POINT (710065.0020715444 3151949.2900104844),11,16
POINT (710065.0020715444 3152199.2900104844),11,16
POINT (710065.0020715444 3152449.2900104844),11,16
POINT (710065.0020715444 3152699.2900104844),11,16
POINT (710065.0020715444 3152949.2900104844),11,16
POINT (710065.0020715444 3153199.2900104844),11,16
POINT (710065.0020715444 3154449.2900104844),11,16
POINT (710065.0020715444 3154699.2900104844),11,16
POINT (710065.0020715444 3154949.2900104844),11,16
POINT (710065.0020715444 3155199.2900104844),11,16
POINT (710065.0020715444 3155449.2900104844),11,16
POINT (710065.0020715444 3155699.2900104844),11,16
POINT (710065.0020715444 3155949.2900104844),11,16
POINT (710065.0020715444 3156199.2900104844),11,16
POINT (710065.0020715444 3156449.2900104844),11,9
POINT (710065.0020715444 3156699.2900104844),11,16
POINT (710065.0020715444 3156949.2900104844),11,16
POINT (710315.0020715444 3147699.2900104844),11,16
POINT (710315.0020715444 3147949.2900104844),11,16
POINT (710315.0020715444 3148199.2900104844),11,16
POINT (710315.0020715444 3148449.2900104844),11,16
POINT (710315.0020715444 3148699.2900104844),5,0
POINT (710315.0020715444 3148949.2900104844),11,16
POINT (710315.0020715444 3149199.2900104844),5,0
POINT (710315.0020715444 3149449.2900104844),5,0
POINT (710315.0020715444 3149699.2900104844),11,16
POINT (710315.0020715444 3149949.2900104844),11,16
POINT (710315.0020715444 3150199.2900104844),11,16
POINT (710315.0020715444 3150449.2900104844),11,16
POINT (710315.0020715444 3150699.2900104844),11,16
POINT (710315.0020715444 3150949.2900104844),11,16
POINT (710315.0020715444 3151199.2900104844),11,16
POINT (710315.0020715444 3151449.2900104844),11,16
POINT (710315.0020715444 3151699.2900104844),11,16
POINT (710315.0020715444 3151949.2900104844),11,16
POINT (710315.0020715444 3152199.2900104844),11,16
POINT (710315.0020715444 3152449.2900104844),11,16
POINT (710315.0020715444 3152699.2900104844),11,16
POINT (710315.0020715444 3152949.2900104844),11,16
POINT (710315.0020715444 3153199.2900104844),11,16
POINT (710315.0020715444 3153449.2900104844),11,16
POINT (710315.0020715444 3153699.2900104844),11,19
POINT (710315.0020715444 3154449.2900104844),11,16
POINT (710315.0020715444 3154699.2900104844),11,16
POINT (710315.0020715444 3154949.2900104844),11,16
POINT (710315.0020715444 3155199.2900104844),11,16
POINT (710315.0020715444 3155449.2900104844),11,16
POINT (710315.0020715444 3155699.2900104844),11,16
POINT (710315.0020715444 3155949.2900104844),11,16
POINT (710315.0020715444 3156199.2900104844),11,16
POINT (710315.0020715444 3156449.2900104844),5,0
POINT (710315.0020715444 3156699.2900104844),11,16
POINT (710315.0020715444 3156949.2900104844),11,16
POINT (710565.0020715444 3147449.2900104844),11,16
POINT (710565.0020715444 3147699.2900104844),11,16
POINT (710565.0020715444 3147949.2900104844),11,16
POINT (710565.0020715444 3148199.2900104844),11,16
POINT (710565.0020715444 3148449.2900104844),11,16
POINT (710565.0020715444 3148699.2900104844),5,0
POINT (710565.0020715444 3148949.2900104844),11,9
POINT (710565.0020715444 3149199.2900104844),5,0
POINT (710565.0020715444 3149449.2900104844),5,0
POINT (710565.0020715444 3149699.2900104844),11,16
POINT (710565.0020715444 3149949.2900104844),11,16
POINT (710565.0020715444 3150199.2900104844),11,16
POINT (710565.0020715444 3150449.2900104844),11,16
POINT (710565.0020715444 3150699.2900104844),11,16
POINT (710565.0020715444 3150949.2900104844),11,16
POINT (710565.0020715444 3151199.2900104844),11,16
POINT (710565.0020715444 3151449.2900104844),11,16
POINT (710565.0020715444 3151699.2900104844),11,16
POINT (710565.0020715444 3151949.2900104844),11,16
POINT (710565.0020715444 3152199.2900104844),11,16
POINT (710565.0020715444 3152449.2900104844),11,16
POINT (710565.0020715444 3152699.2900104844),11,16
POINT (710565.0020715444 3152949.2900104844),11,16
POINT (710565.0020715444 3153199.2900104844),11,16
POINT (710565.0020715444 3153449.2900104844),5,0
POINT (710565.0020715444 3153699.2900104844),11,9
POINT (710565.0020715444 3153949.2900104844),6,19
POINT (710565.0020715444 3154199.2900104844),11,16
POINT (710565.0020715444 3154699.2900104844),5,0
POINT (710565.0020715444 3154949.2900104844),5,0
POINT (710565.0020715444 3155199.2900104844),11,16
POINT (710565.0020715444 3155449.2900104844),11,16
POINT (710565.0020715444 3155699.2900104844),11,16
POINT (710565.0020715444 3155949.2900104844),11,16
POINT (710565.0020715444 3156199.2900104844),11,16
POINT (710565.0020715444 3156449.2900104844),11,16
POINT (710565.0020715444 3156699.2900104844),11,16
POINT (710565.0020715444 3156949.2900104844),11,16
POINT (710815.0020715444 3147199.2900104844),11,16
POINT (710815.0020715444 3147449.2900104844),11,16
POINT (710815.0020715444 3147699.2900104844),11,16
POINT (710815.0020715444 3147949.2900104844),5,0
POINT (710815.0020715444 3148199.2900104844),5,0
POINT (710815.0020715444 3148449.2900104844),5,0
POINT (710815.0020715444 3148699.2900104844),5,0
POINT (710815.0020715444 3148949.2900104844),5,0
POINT (710815.0020715444 3149199.2900104844),5,0
POINT (710815.0020715444 3149449.2900104844),5,0
POINT (710815.0020715444 3149699.2900104844),5,0
POINT (710815.0020715444 3149949.2900104844),11,16
POINT (710815.0020715444 3150199.2900104844),11,16
POINT (710815.0020715444 3150449.2900104844),11,16
POINT (710815.0020715444 3150699.2900104844),11,16
POINT (710815.0020715444 3150949.2900104844),11,16
POINT (710815.0020715444 3151199.2900104844),11,16
POINT (710815.0020715444 3151449.2900104844),11,16
POINT (710815.0020715444 3151699.2900104844),11,16
POINT (710815.0020715444 3151949.2900104844),11,16
POINT (710815.0020715444 3152199.2900104844),11,16
POINT (710815.0020715444 3152449.2900104844),11,16
POINT (710815.0020715444 3152699.2900104844),11,16
POINT (710815.0020715444 3152949.2900104844),11,16
POINT (710815.0020715444 3153199.2900104844),5,0
POINT (710815.0020715444 3153449.2900104844),11,16
POINT (710815.0020715444 3153699.2900104844),11,16
POINT (710815.0020715444 3153949.2900104844),11,19
POINT (710815.0020715444 3154199.2900104844),3,22
POINT (710815.0020715444 3154449.2900104844),11,16
POINT (710815.0020715444 3154699.2900104844),11,16
POINT (710815.0020715444 3154949.2900104844),5,0
POINT (710815.0020715444 3155199.2900104844),11,16
POINT (710815.0020715444 3155449.2900104844),11,16
POINT (710815.0020715444 3155699.2900104844),11,16
POINT (710815.0020715444 3155949.2900104844),11,16
POINT (710815.0020715444 3156199.2900104844),11,16
POINT (710815.0020715444 3156449.2900104844),11,16
POINT (710815.0020715444 3156699.2900104844),11,16
POINT (711065.0020715444 3147199.2900104844),11,16
POINT (711065.0020715444 3147449.2900104844),11,16
POINT (711065.0020715444 3147699.2900104844),11,16
POINT (711065.0020715444 3147949.2900104844),11,16
POINT (711065.0020715444 3148199.2900104844),11,16
POINT (711065.0020715444 3148449.2900104844),11,16
POINT (711065.0020715444 3148699.2900104844),11,16
POINT (711065.0020715444 3148949.2900104844),5,0
POINT (711065.0020715444 3149199.2900104844),5,0
POINT (711065.0020715444 3149449.2900104844),11,16
POINT (711065.0020715444 3149699.2900104844),11,16
POINT (711065.0020715444 3149949.2900104844),11,16
POINT (711065.0020715444 3150199.2900104844),11,16
POINT (711065.0020715444 3150449.2900104844),11,16
POINT (711065.0020715444 3150699.2900104844),11,16
POINT (711065.0020715444 3150949.2900104844),11,16
POINT (711065.0020715444 3151199.2900104844),11,16
POINT (711065.0020715444 3151449.2900104844),11,16
POINT (711065.0020715444 3151699.2900104844),11,16
POINT (711065.0020715444 3151949.2900104844),11,16
POINT (711065.0020715444 3152199.2900104844),11,16
POINT (711065.0020715444 3152449.2900104844),11,16
POINT (711065.0020715444 3152699.2900104844),11,16
POINT (711065.0020715444 3152949.2900104844),11,16
POINT (711065.0020715444 3153199.2900104844),11,16
POINT (711065.0020715444 3153449.2900104844),11,16
POINT (711065.0020715444 3153699.2900104844),11,16
POINT (711065.0020715444 3153949.2900104844),11,16
POINT (711065.0020715444 3154199.2900104844),4,28
POINT (711065.0020715444 3154449.2900104844),11,16
POINT (711065.0020715444 3154699.2900104844),11,16
POINT (711065.0020715444 3154949.2900104844),11,16
POINT (711065.0020715444 3155199.2900104844),11,16
POINT (711065.0020715444 3155449.2900104844),11,16
POINT (711065.0020715444 3155699.2900104844),11,16
POINT (711065.0020715444 3155949.2900104844),11,16
POINT (711065.0020715444 3156199.2900104844),11,16
POINT (711065.0020715444 3156449.2900104844),11,16
POINT (711065.0020715444 3156699.2900104844),11,16
POINT (711065.0020715444 3156949.2900104844),11,19
POINT (711315.0020715444 3146949.2900104844),11,16
POINT (711315.0020715444 3147199.2900104844),11,16
POINT (711315.0020715444 3147449.2900104844),11,16
POINT (711315.0020715444 3147699.2900104844),11,16
POINT (711315.0020715444 3147949.2900104844),11,16
POINT (711315.0020715444 3148199.2900104844),11,16
POINT (711315.0020715444 3148449.2900104844),11,16
POINT (711315.0020715444 3148699.2900104844),11,16
POINT (711315.0020715444 3148949.2900104844),5,0
POINT (711315.0020715444 3149199.2900104844),5,0
POINT (711315.0020715444 3149449.2900104844),11,16
POINT (711315.0020715444 3149699.2900104844),11,9
POINT (711315.0020715444 3149949.2900104844),11,9
POINT (711315.0020715444 3150199.2900104844),11,16
POINT (711315.0020715444 3150449.2900104844),11,16
POINT (711315.0020715444 3150699.2900104844),11,16
POINT (711315.0020715444 3150949.2900104844),11,16
POINT (711315.0020715444 3151199.2900104844),11,16
POINT (711315.0020715444 3151449.2900104844),11,16
POINT (711315.0020715444 3151699.2900104844),11,16
POINT (711315.0020715444 3151949.2900104844),11,16
POINT (711315.0020715444 3152199.2900104844),11,16
POINT (711315.0020715444 3152449.2900104844),11,16
POINT (711315.0020715444 3152699.2900104844),11,16
POINT (711315.0020715444 3152949.2900104844),11,16
POINT (711315.0020715444 3153199.2900104844),11,16
POINT (711315.0020715444 3153449.2900104844),11,16
POINT (711315.0020715444 3153699.2900104844),11,16
POINT (711315.0020715444 3153949.2900104844),11,16
POINT (711315.0020715444 3154199.2900104844),11,19
POINT (711315.0020715444 3154449.2900104844),11,19
POINT (711315.0020715444 3154699.2900104844),11,16
POINT (711315.0020715444 3154949.2900104844),11,16
POINT (711315.0020715444 3155199.2900104844),11,16
POINT (711315.0020715444 3155449.2900104844),11,16
POINT (711315.0020715444 3155699.2900104844),11,16
POINT (711315.0020715444 3155949.2900104844),11,16
POINT (711315.0020715444 3156199.2900104844),11,11
POINT (711315.0020715444 3156449.2900104844),36,35
POINT (711315.0020715444 3156699.2900104844),36,35
POINT (711315.0020715444 3156949.2900104844),4,28
POINT (711565.0020715444 3146949.2900104844),11,16
POINT (711565.0020715444 3147199.2900104844),11,16
POINT (711565.0020715444 3147449.2900104844),11,16
POINT (711565.0020715444 3147699.2900104844),11,16
POINT (711565.0020715444 3147949.2900104844),11,16
POINT (711565.0020715444 3148199.2900104844),11,16
POINT (711565.0020715444 3148449.2900104844),5,0
POINT (711565.0020715444 3148699.2900104844),11,16
POINT (711565.0020715444 3148949.2900104844),11,16
POINT (711565.0020715444 3149199.2900104844),11,16
POINT (711565.0020715444 3149449.2900104844),11,16
POINT (711565.0020715444 3149699.2900104844),11,16
POINT (711565.0020715444 3149949.2900104844),11,16
POINT (711565.0020715444 3150199.2900104844),11,16
POINT (711565.0020715444 3150449.2900104844),11,9
POINT (711565.0020715444 3150699.2900104844),11,16
POINT (711565.0020715444 3150949.2900104844),11,16
POINT (711565.0020715444 3151199.2900104844),11,16
POINT (711565.0020715444 3151449.2900104844),11,16
POINT (711565.0020715444 3151699.2900104844),11,16
POINT (711565.0020715444 3151949.2900104844),11,16
POINT (711565.0020715444 3152199.2900104844),11,16
POINT (711565.0020715444 3152449.2900104844),11,16
POINT (711565.0020715444 3152699.2900104844),11,16
POINT (711565.0020715444 3152949.2900104844),11,16
POINT (711565.0020715444 3153199.2900104844),11,16
POINT (711565.0020715444 3153449.2900104844),11,16
POINT (711565.0020715444 3153699.2900104844),11,16
POINT (711565.0020715444 3153949.2900104844),11,16
POINT (711565.0020715444 3154199.2900104844),11,16
POINT (711565.0020715444 3154449.2900104844),11,19
POINT (711565.0020715444 3154699.2900104844),11,16
POINT (711565.0020715444 3154949.2900104844),11,16
POINT (711565.0020715444 3155199.2900104844),11,16
POINT (711565.0020715444 3155449.2900104844),11,16
POINT (711565.0020715444 3155699.2900104844),11,16
POINT (711565.0020715444 3155949.2900104844),11,16
POINT (711565.0020715444 3156199.2900104844),19,23
POINT (711565.0020715444 3156449.2900104844),26,29
POINT (711565.0020715444 3156699.2900104844),36,35
POINT (711565.0020715444 3156949.2900104844),11,11
POINT (711565.0020715444 3157199.2900104844),11,16
POINT (711815.0020715444 3146199.2900104844),-5,-10
POINT (711815.0020715444 3146449.2900104844),-5,-10
POINT (711815.0020715444 3146699.2900104844),1,-1
POINT (711815.0020715444 3146949.2900104844),11,16
POINT (711815.0020715444 3147199.2900104844),11,16
POINT (711815.0020715444 3147449.2900104844),11,16
POINT (711815.0020715444 3147699.2900104844),11,16
POINT (711815.0020715444 3147949.2900104844),11,16
POINT (711815.0020715444 3148199.2900104844),11,16
POINT (711815.0020715444 3148449.2900104844),11,16
POINT (711815.0020715444 3148699.2900104844),11,16
POINT (711815.0020715444 3148949.2900104844),11,16
POINT (711815.0020715444 3149199.2900104844),11,16
POINT (711815.0020715444 3149449.2900104844),11,16
POINT (711815.0020715444 3149699.2900104844),11,16
POINT (711815.0020715444 3149949.2900104844),11,16
POINT (711815.0020715444 3150199.2900104844),11,16
POINT (711815.0020715444 3150449.2900104844),11,16
POINT (711815.0020715444 3150699.2900104844),11,16
POINT (711815.0020715444 3150949.2900104844),11,16
POINT (711815.0020715444 3151199.2900104844),11,16
POINT (711815.0020715444 3151449.2900104844),11,16
POINT (711815.0020715444 3151699.2900104844),11,16
POINT (711815.0020715444 3151949.2900104844),11,16
POINT (711815.0020715444 3152199.2900104844),11,16
POINT (711815.0020715444 3152449.2900104844),11,16
POINT (711815.0020715444 3152699.2900104844),11,16
POINT (711815.0020715444 3152949.2900104844),11,16
POINT (711815.0020715444 3153199.2900104844),11,16
POINT (711815.0020715444 3153449.2900104844),11,16
POINT (711815.0020715444 3153699.2900104844),11,16
POINT (711815.0020715444 3153949.2900104844),11,16
POINT (711815.0020715444 3154199.2900104844),11,16
POINT (711815.0020715444 3154449.2900104844),4,28
POINT (711815.0020715444 3154699.2900104844),4,28
POINT (711815.0020715444 3154949.2900104844),19,16
POINT (711815.0020715444 3155199.2900104844),11,7
POINT (711815.0020715444 3155449.2900104844),19,16
POINT (711815.0020715444 3155699.2900104844),11,16
POINT (711815.0020715444 3155949.2900104844),4,28
POINT (711815.0020715444 3156199.2900104844),26,29
POINT (711815.0020715444 3156449.2900104844),11,11
POINT (711815.0020715444 3156699.2900104844),26,29
POINT (711815.0020715444 3156949.2900104844),10,9
